post_url,comentario_texto,autor,fecha_comentario,likes_comentario,es_respuesta,url_comentario
https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl,"En hora buena Presidente, felicidades y gracias por la preocupación que muestra cada día, por su empeño en fortalecer todas las áreas, dejando huellas que permaneceran y se convertirán en bienestar para todos los Naucalpenses.",Coco Ramírez,2026-04-15T15:25:23.000Z,0,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl?comment_id=2134792020652052
https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl,Enhorabuena Presidente 💜,Aline Orozco,2026-04-15T05:45:27.000Z,1,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl?comment_id=1012594521199953
https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl,"Isaac, Isaac, Isaac excelente trabajo presidente municipal de Naucalpan.",Lupita MT,2026-04-15T04:15:48.000Z,0,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl?comment_id=950210977790734
https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl,"¡Muchas felicidades por este gran logro! 👏
Naucalpan sigue avanzando y posicionándose, pero también es momento de seguir fortaleciendo áreas clave como el cuidado ambiental, nuestra biodiversidad y el desarrollo forestal. 🌿🐾

Vamos por más distintivos: Pueblo con Encanto y un verdadero impulso al ecoturismo. ✨!Enhorabuena!!",Elena Bartolo Santiago,2026-04-15T01:25:07.000Z,0,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid0KPmuqXyx3uhvBx4cZDLEAQ6euYLSWn3g7fo7qTPT4wW1PbsJiRB4SPCLWfntomYHl?comment_id=1235176798599595
https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl,👏🏻👏🏻👏🏻❤️,S Paola Garcia,2026-04-14T22:46:55.000Z,1,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl?comment_id=3394878250661482
https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl,"Transformando Ciudad Naucalpan / Gobierno Municipal 2025-2027. ,🎉🎉🎉🎉🎉🫶🏻",Nitza  Gonzalez,2026-04-14T22:38:04.000Z,0,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl?comment_id=2413752202425365
https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl,#Naucalpan4T,Christian Mendoza Navarro,2026-04-14T22:32:54.000Z,1,False,https://www.facebook.com/CiudadNaucalpan/posts/pfbid06rKvQoLG25hZYa1CBWAYngHUw5AsR7sn23TLf4qAyRgP8683vy8Pe78Bae7PRBrhl?comment_id=2287120278784958
https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l,"Excelente apoyo para las familias. #R6
#SeguiremosHaciendoHistoria",Sarahi Mejia,2026-04-17T05:33:21.000Z,0,False,https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l?comment_id=971078208941933
https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l,Gracias sr presidente Issac Montoya yo fui una beneficiaria  resiva un fuerte abrazo,Marichuy Martinez,2026-04-15T22:43:49.000Z,1,False,https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l?comment_id=946673211655324
https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l,EXCELENTE TRABAJO,Padrino Sam,2026-04-15T20:56:21.000Z,1,False,https://www.facebook.com/isaacmontoya24/posts/pfbid02JxyzUJkwsuadapdtQ7CErarggXLoJ58gdUfEtVyQH64EnBnss5hR2awjFRw4V3e9l?comment_id=842022868915748
